Protein,Test_Methods,Test_Statistics,P_Value,Fold_Change,Adjusted_P_Value,log2_Fold_Change,Neg_log10_Adjusted_P_Value
sp|Q8IVN8|SBSPO_HUMAN,wilcoxon_signed_rank,6.0,1.043081283569336e-07,0.1597587978435805,1.1123882399664986e-05,-2.6460327129745,4.953743611092176
sp|Q8IXH6|T53I2_HUMAN,wilcoxon_signed_rank,56.0,0.0008492294116545201,0.26260215942557996,0.0049579707378710975,-1.929049315062632,2.304696040782924
sp|Q8IXQ4|GPAM1_HUMAN,wilcoxon_signed_rank,61.0,0.0007162094116210938,0.40192075780591885,0.0042696757346206565,-1.3150170053973682,2.3696051067109027
sp|Q8N142|PURA1_HUMAN,wilcoxon_signed_rank,46.0,0.0001353248953819275,0.4183811742864064,0.0012393591086600573,-1.2571101581559532,2.9068028370359924
sp|Q8N1G2|CMTR1_HUMAN,wilcoxon_signed_rank,60.0,0.0006467849016189575,0.4298252640803734,0.003964138879782091,-1.2181778115347106,2.4018511388319532
sp|Q8N335|GPD1L_HUMAN,wilcoxon_signed_rank,2.0,2.2351741790771484e-08,0.256421945904162,5.645579413363808e-06,-1.9634083544119962,5.248291479228238
sp|Q8N4T0|CBPA6_HUMAN,wilcoxon_signed_rank,57.0,0.0004729032516479492,0.41022839780782366,0.0031740737128091025,-1.285500729938328,2.4983829916660762
sp|Q8N5M9|JAGN1_HUMAN,wilcoxon_signed_rank,81.0,0.004406772553920746,0.40425763953968363,0.017082472929132196,-1.3066530573124209,1.7674492588381348
sp|Q8NDW4|ZN248_HUMAN,wilcoxon_signed_rank,77.0,0.003160528838634491,0.30501694337132873,0.013166126646360174,-1.7130387097893571,1.8805419716994434
sp|Q8NFW8|NEUA_HUMAN,wilcoxon_signed_rank,15.0,1.0207295417785645e-06,0.42725514656791647,5.2111500755269474e-05,-1.2268302246751426,4.283066419438363
sp|Q8TD08|MK15_HUMAN,wilcoxon_signed_rank,15.0,1.0207295417785645e-06,0.45748070889930703,5.2111500755269474e-05,-1.1282171859433356,4.283066419438363
sp|Q8TD47|RS4Y2_HUMAN,wilcoxon_signed_rank,29.0,1.2949109077453613e-05,0.2942014046270092,0.000261104094381092,-1.7651239603150715,3.583186317938935
sp|Q8WUT4|LRRN4_HUMAN,wilcoxon_signed_rank,0.0,7.450580596923828e-09,0.3260824600847553,3.575533628463745e-06,-1.616691254013489,5.446659132995071
sp|Q8WWA0|ITLN1_HUMAN,wilcoxon_signed_rank,0.0,7.450580596923828e-09,0.09070560312955328,3.575533628463745e-06,-3.462664517107567,5.446659132995071
sp|Q8WWY3|PRP31_HUMAN,wilcoxon_signed_rank,26.0,7.964670658111572e-06,0.470861929402679,0.00019501252289937467,-1.0866240137498036,3.709937499142769
sp|Q92522|H1X_HUMAN,wilcoxon_signed_rank,26.0,7.964670658111572e-06,0.47138724777311386,0.00019501252289937467,-1.0850153643504854,3.709937499142769
sp|Q92688|AN32B_HUMAN,wilcoxon_signed_rank,59.0,0.0005833879113197327,0.40395992762634225,0.003674118879820731,-1.307715908549182,2.4348467957670388
sp|Q969E4|TCAL3_HUMAN / sp|Q5H9L2|TCAL5_HUMAN,wilcoxon_signed_rank,48.0,0.0001721307635307312,0.46890290332463375,0.001472469757903706,-1.0926388830090856,2.831953616140464
sp|Q969Q0|RL36L_HUMAN,wilcoxon_signed_rank,44.0,0.00010570138692855835,0.2767035641266355,0.0010458988780827866,-1.8535868679445322,2.9805103028622457
sp|Q96AM1|MRGRF_HUMAN,wilcoxon_signed_rank,0.0,7.450580596923828e-09,0.2534748651481239,3.575533628463745e-06,-1.9800853998243573,5.446659132995071
sp|Q96F85|CNRP1_HUMAN,wilcoxon_signed_rank,18.0,1.8849968910217285e-06,0.48012430144390644,7.86617398262024e-05,-1.0585201351763645,4.104236452172865
sp|Q96J01|THOC3_HUMAN,wilcoxon_signed_rank,28.0,1.1049211025238037e-05,0.205468146577887,0.0002335910295599883,-2.2830133425185255,3.6315438391598116
sp|Q96N66|MBOA7_HUMAN,wilcoxon_signed_rank,79.0,0.003738619387149811,0.4067992443175839,0.014938912938328011,-1.2976110956828215,1.825681003729594
sp|Q99759|M3K3_HUMAN,wilcoxon_signed_rank,27.0,9.395182132720947e-06,0.47976677123051337,0.0002178139084779122,-1.059594855224018,3.661914391878907
sp|Q99848|EBP2_HUMAN,wilcoxon_signed_rank,72.0,0.0020434409379959106,0.035923781571365575,0.009493197542538603,-4.798916964219692,2.022587481863125
sp|Q9BQ67|GRWD1_HUMAN,wilcoxon_signed_rank,59.0,0.0005833879113197327,0.24773037962762157,0.003674118879820731,-2.013157295133861,2.4348467957670388
sp|Q9BQ69|MACD1_HUMAN,wilcoxon_signed_rank,71.0,0.0018673688173294067,0.48536561951782037,0.008811703986591764,-1.0428561749187317,2.0549401006212547
sp|Q9BQB6|VKOR1_HUMAN,wilcoxon_signed_rank,47.0,0.00015273690223693848,0.40939490203340045,0.0013473977827850511,-1.2884349574916574,2.8705041716374966
sp|Q9BQI4|CCDC3_HUMAN,wilcoxon_signed_rank,49.0,0.00019368529319763184,0.4843277907255143,0.001605346670216641,-1.045944307740564,2.7944311684274736
sp|Q9BS40|LXN_HUMAN,wilcoxon_signed_rank,42.0,8.20159912109375e-05,0.4965406972489241,0.0008707848270382502,-1.0100161267550607,3.060089146915017
sp|Q9BV10|ALG12_HUMAN,wilcoxon_signed_rank,27.0,6.424684296669231e-05,0.001414831813224393,0.0007465389815911776,-9.465153720402435,3.1269475100448663
sp|Q9BVC6|TM109_HUMAN,wilcoxon_signed_rank,31.0,1.765042543411255e-05,0.4689462134509195,0.00030469205632484216,-1.0925056349133322,3.516138868190382
sp|Q9BVJ7|DUS23_HUMAN,wilcoxon_signed_rank,5.0,7.450580596923828e-08,0.47002612585935105,9.932037856843735e-06,-1.0891871453307427,5.002961633762358
sp|Q9BWT6|MND1_HUMAN,wilcoxon_signed_rank,73.0,0.0022339224815368652,0.2809228641018447,0.010104235616301053,-1.8317540457738544,1.9954965352094234
sp|Q9BXJ8|TACAN_HUMAN,wilcoxon_signed_rank,82.0,0.004778154194355011,0.3298298099669697,0.01811245022014984,-1.6002062996656856,1.7420227951242993
sp|Q9BXN1|ASPN_HUMAN,wilcoxon_signed_rank,58.0,0.0005255788564682007,0.43726965211996804,0.0034269740926506725,-1.1934048705371139,2.4650891787511613
sp|Q9H0W5|CCDC8_HUMAN,wilcoxon_signed_rank,28.0,1.1049211025238037e-05,0.07665340287350618,0.0002335910295599883,-3.705506350927057,3.6315438391598116
sp|Q9H2U1|DHX36_HUMAN,wilcoxon_signed_rank,15.0,1.0207295417785645e-06,0.4896765692525943,5.2111500755269474e-05,-1.0300989293324354,4.283066419438363
sp|Q9H330|TM245_HUMAN,wilcoxon_signed_rank,15.0,1.0207295417785645e-06,0.40068997075126694,5.2111500755269474e-05,-1.3194416952471528,4.283066419438363
sp|Q9H3M7|TXNIP_HUMAN,wilcoxon_signed_rank,53.0,0.0003059804439544678,0.434676656742115,0.0022556069900729506,-1.201985473636786,2.6467365682132256
sp|Q9H6N6|MYH16_HUMAN,wilcoxon_signed_rank,13.0,6.556510925292969e-07,0.4968338467646869,3.982872902592526e-05,-1.0091646345007932,4.399803552135344
sp|Q9NX24|NHP2_HUMAN,wilcoxon_signed_rank,42.0,8.20159912109375e-05,0.39654615393554743,0.0008707848270382502,-1.3344393041691753,3.060089146915017
sp|Q9NXD2|MTMRA_HUMAN,wilcoxon_signed_rank,13.0,6.556510925292969e-07,0.19194395089230934,3.982872902592526e-05,-2.381243000475782,4.399803552135344
sp|Q9NXG2|THUM1_HUMAN,wilcoxon_signed_rank,22.0,3.993511199951172e-06,0.4249561479491884,0.00012206917355774314,-1.234614120461382,3.9133939957115347
sp|Q9NZA1|CLIC5_HUMAN,wilcoxon_signed_rank,4.0,5.21540641784668e-08,0.4529290256903832,8.07378561266007e-06,-1.1426430982730822,5.092922786815087
sp|Q9NZR1|TMOD2_HUMAN,wilcoxon_signed_rank,4.0,5.21540641784668e-08,0.4164517842994906,8.07378561266007e-06,-1.2637786210939754,5.092922786815087
sp|Q9P2B2|FPRP_HUMAN,wilcoxon_signed_rank,22.0,3.993511199951172e-06,0.4610690397730497,0.00012206917355774314,-1.1169453011077928,3.9133939957115347
sp|Q9P2M7|CING_HUMAN,wilcoxon_signed_rank,44.0,0.00010570138692855835,0.46317732193890815,0.0010458988780827866,-1.1103634769816677,2.9805103028622457
sp|Q9UI09|NDUAC_HUMAN,wilcoxon_signed_rank,23.0,4.76837158203125e-06,0.497886176730889,0.00013540482379981045,-1.0061121337887573,3.8683658636248572
sp|Q9UKX2|MYH2_HUMAN / sp|P12882|MYH1_HUMAN,wilcoxon_signed_rank,16.0,1.259148120880127e-06,0.19487344207035118,5.982823596142306e-05,-2.359390605646728,4.22309380216404
sp|Q9UL42|PNMA2_HUMAN,wilcoxon_signed_rank,56.0,0.0004249662160873413,0.46543381067982587,0.002909290828820472,-1.1033520781098214,2.536212862101649
sp|Q9UNL2|SSRG_HUMAN,wilcoxon_signed_rank,37.0,4.2110681533813477e-05,0.32595215853846243,0.0005476671021159102,-1.6172678657202606,3.2614833459776102
sp|Q9UNN8|EPCR_HUMAN,wilcoxon_signed_rank,0.0,7.450580596923828e-09,0.2850790034522928,3.575533628463745e-06,-1.8105663086130392,5.446659132995071
sp|Q9UNZ5|L10K_HUMAN,wilcoxon_signed_rank,40.0,6.318092346191406e-05,0.32797801657383074,0.0007359350769265184,-1.6083289765159177,3.1331604967714917
sp|Q9Y3U8|RL36_HUMAN,wilcoxon_signed_rank,56.0,0.0004249662160873413,0.381344472130433,0.002909290828820472,-1.3908333079073714,2.536212862101649
sp|A2A2Z9|AN18B_HUMAN,wilcoxon_signed_rank,12.0,5.21540641784668e-07,2.3919063520287547,3.575533628463746e-05,1.2581609062130679,4.44665913299507
sp|A4FU69|EFCB5_HUMAN,wilcoxon_signed_rank,53.0,0.0003059804439544678,2.3036677961034315,0.0022556069900729506,1.2039326857605501,2.6467365682132256
sp|O00192|ARVC_HUMAN,wilcoxon_signed_rank,40.0,6.318092346191406e-05,2.014611845722706,0.0007359350769265184,1.010501902180628,3.1331604967714917
sp|O14561|ACPM_HUMAN,wilcoxon_signed_rank,68.0,0.001416526734828949,3.0200453815973844,0.007155696632046449,1.5945702287932602,2.145348079762153
sp|O75339|CILP1_HUMAN,wilcoxon_signed_rank,3.0,3.725290298461914e-08,2.452842687111698,7.449028392632803e-06,1.2944547097204144,5.127900370370658
sp|O76031|CLPX_HUMAN,wilcoxon_signed_rank,35.0,3.17990779876709e-05,2.7138216102521,0.000447518402530301,1.4403258900776426,3.3491891012351362
sp|O76070|SYUG_HUMAN,wilcoxon_signed_rank,26.0,7.964670658111572e-06,2.613573015053508,0.00019501252289937467,1.386023464246793,3.709937499142769
sp|O76076|CCN5_HUMAN,wilcoxon_signed_rank,4.0,5.21540641784668e-08,2.319020192310582,8.07378561266007e-06,1.213515381958696,5.092922786815087
sp|O95429|BAG4_HUMAN,wilcoxon_signed_rank,59.0,0.0005833879113197327,2.251351158881107,0.003674118879820731,1.1707911015118102,2.4348467957670388
sp|P00167|CYB5_HUMAN / sp|CYB5_HUMAN|P00167,wilcoxon_signed_rank,16.0,1.259148120880127e-06,2.2170170639153777,5.982823596142306e-05,1.1486198743691143,4.22309380216404
sp|P02452|CO1A1_HUMAN,wilcoxon_signed_rank,28.0,1.1049211025238037e-05,3.994495875359733,0.0002335910295599883,1.998013439571065,3.6315438391598116
sp|P02461|CO3A1_HUMAN,wilcoxon_signed_rank,28.0,1.1049211025238037e-05,2.9061791153669976,0.0002335910295599883,1.5391236227533924,3.6315438391598116
sp|P02649|APOE_HUMAN,wilcoxon_signed_rank,46.0,0.0001353248953819275,2.112042570595895,0.0012393591086600573,1.0786389141322676,2.9068028370359924
sp|P05452|TETN_HUMAN,wilcoxon_signed_rank,2.0,2.2351741790771484e-08,2.4065313747396844,5.645579413363808e-06,1.2669552323143325,5.248291479228238
sp|P06702|S10A9_HUMAN,wilcoxon_signed_rank,65.0,0.0010645166039466858,2.3178090125144526,0.005778976450611024,1.2127616931562601,2.238149075284529
sp|P08123|CO1A2_HUMAN,wilcoxon_signed_rank,55.0,0.0003814026713371277,2.970290623245905,0.0026798703070964507,1.5706040960775718,2.5718862232380992
sp|P08473|NEP_HUMAN,wilcoxon_signed_rank,41.0,7.204711437225342e-05,3.142480729361637,0.0007985083184121112,1.6519038976323717,3.0977205552654348
sp|P08913|ADA2A_HUMAN,wilcoxon_signed_rank,36.0,3.663450479507446e-05,2.448650005728736,0.0004966355607671253,1.2919865790942748,3.303962186730697
sp|P09486|SPRC_HUMAN,wilcoxon_signed_rank,10.0,3.203749656677246e-07,2.3134957232318936,2.4798055810313072e-05,1.2100744319147319,4.605582366913739
sp|P09972|ALDOC_HUMAN,wilcoxon_signed_rank,0.0,7.450580596923828e-09,3.1934359416871385,3.575533628463745e-06,1.6751095112481107,5.446659132995071
sp|P0DJI8|SAA1_HUMAN,wilcoxon_signed_rank,60.0,0.0006467849016189575,2.0322517818065573,0.003964138879782091,1.023079153025953,2.4018511388319532
sp|P12107|COBA1_HUMAN / sp|P20908|CO5A1_HUMAN,wilcoxon_signed_rank,54.0,0.0003418475389480591,4.505160825100343,0.002437632005069444,2.1715786082437676,2.613031856646474
sp|P12111|CO6A3_HUMAN,wilcoxon_signed_rank,18.0,1.8849968910217285e-06,2.2515311860600993,7.86617398262024e-05,1.1709064606522894,4.104236452172865
sp|P13611|CSPG2_HUMAN,wilcoxon_signed_rank,3.0,3.725290298461914e-08,2.614304995448905,7.449028392632803e-06,1.3864274616205827,5.127900370370658
sp|P14384|CBPM_HUMAN,wilcoxon_signed_rank,7.0,1.4156103134155273e-07,2.679425545142343,1.3587027788162232e-05,1.4219237275452647,4.86687553637826
sp|P16671|CD36_HUMAN,wilcoxon_signed_rank,36.0,3.663450479507446e-05,2.119128489569732,0.0004966355607671253,1.0834710655982929,3.303962186730697
sp|P20930|FILA_HUMAN,wilcoxon_signed_rank,38.0,4.830211400985718e-05,2.295112756895566,0.0006100048556139594,1.1985650337340645,3.2146667080089775
sp|P22413|ENPP1_HUMAN,wilcoxon_signed_rank,15.0,1.0207295417785645e-06,2.3741368559714395,5.2111500755269474e-05,1.247403100835125,4.283066419438363
sp|P25940|CO5A3_HUMAN,wilcoxon_signed_rank,33.0,2.380460500717163e-05,2.7739121047937267,0.0003649785924262513,1.471922074616383,3.4377326080471002
sp|P26447|S10A4_HUMAN,wilcoxon_signed_rank,0.0,7.450580596923828e-09,2.169236865241048,3.575533628463745e-06,1.1171875936514997,5.446659132995071
sp|P39059|COFA1_HUMAN,wilcoxon_signed_rank,23.0,4.76837158203125e-06,2.0255916124229363,0.00013540482379981045,1.018343335974425,3.8683658636248572
sp|P41159|LEP_HUMAN / sp|LEP_HUMAN|P41159,wilcoxon_signed_rank,8.0,1.862645149230957e-07,2.693153133386548,1.596220369849886e-05,1.4292962641865319,4.796907151329234
sp|P41271|NBL1_HUMAN,wilcoxon_signed_rank,71.0,0.0018673688173294067,3.389442027210324,0.008811703986591764,1.7610477952402035,2.0549401006212547
sp|P42330|AK1C3_HUMAN,wilcoxon_signed_rank,36.0,3.663450479507446e-05,2.4749933236665327,0.0004966355607671253,1.3074246335049036,3.303962186730697
sp|P43121|MUC18_HUMAN,wilcoxon_signed_rank,19.0,2.2873282432556152e-06,2.004596680133286,8.711816063002935e-05,1.0033119992224255,4.059891302635447
sp|P43351|RAD52_HUMAN,wilcoxon_signed_rank,28.0,1.1049211025238037e-05,2.544171646163292,0.0002335910295599883,1.3471960073812788,3.6315438391598116
sp|P47929|LEG7_HUMAN,wilcoxon_signed_rank,61.0,0.0007162094116210938,2.539947048574241,0.0042696757346206565,1.3447984207944323,2.3696051067109027
sp|P48304|REG1B_HUMAN / sp|P05451|REG1A_HUMAN,wilcoxon_signed_rank,63.0,0.0008751451969146729,2.027061801536716,0.004981995017785902,1.019390074700889,2.302596711112875
sp|P51857|AK1D1_HUMAN,wilcoxon_signed_rank,60.0,0.0006467849016189575,2.676654876601588,0.003964138879782091,1.4204311322869818,2.4018511388319532
sp|P52895|AK1C2_HUMAN,wilcoxon_signed_rank,61.0,0.0007162094116210938,2.1306417106606497,0.0042696757346206565,1.0912880094923358,2.3696051067109027
sp|P55268|LAMB2_HUMAN,wilcoxon_signed_rank,9.0,2.4586915969848633e-07,2.0398035005871997,2.0343553403328203e-05,1.0284301804406248,4.691573186680121
sp|P55957|BID_HUMAN / sp|BID_HUMAN|P55957,wilcoxon_signed_rank,49.0,0.00019368529319763184,2.053933287593605,0.001605346670216641,1.038389323223343,2.7944311684274736
sp|P98179|RBM3_HUMAN,wilcoxon_signed_rank,26.0,7.964670658111572e-06,2.4941548118952994,0.00019501252289937467,1.318551015858014,3.709937499142769
sp|Q04828|AK1C1_HUMAN,wilcoxon_signed_rank,47.0,0.00015273690223693848,2.222500044535181,0.0013473977827850511,1.1521834479642394,2.8705041716374966
sp|Q07507|DERM_HUMAN,wilcoxon_signed_rank,30.0,1.5139579772949219e-05,3.002804927846995,0.0002783710472428479,1.5863107556913136,3.5553759367214703
sp|Q08397|LOXL1_HUMAN,wilcoxon_signed_rank,43.0,9.319186210632324e-05,2.2220918551066986,0.0009576611268699042,1.1519184549663817,3.0187881409902872
sp|Q13231|CHIT1_HUMAN,wilcoxon_signed_rank,24.0,5.677342414855957e-06,2.7666854138861003,0.0001530649789263693,1.4681586115560712,3.8151241639643643
sp|Q13361|MFAP5_HUMAN,wilcoxon_signed_rank,59.0,0.0005833879113197327,2.026548028292463,0.003674118879820731,1.0190243670246644,2.4348467957670388
sp|Q13510|ASAH1_HUMAN,wilcoxon_signed_rank,31.0,1.765042543411255e-05,2.0077761126661824,0.00030469205632484216,1.0055984031758893,3.516138868190382
sp|Q13790|APOF_HUMAN,wilcoxon_signed_rank,50.0,0.00021760910749435425,2.3738540115667592,0.0017463312823836224,1.2472312141437465,2.757873366321343
sp|Q14031|CO4A6_HUMAN,wilcoxon_signed_rank,25.0,6.735324859619141e-06,13.930605509885192,0.00017471796757466084,3.8001860625984607,3.7576624309227213
sp|Q15063|POSTN_HUMAN,wilcoxon_signed_rank,5.0,7.450580596923828e-08,2.904497464447021,9.932037856843735e-06,1.5382885704226814,5.002961633762358
sp|Q15067|ACOX1_HUMAN,wilcoxon_signed_rank,28.0,1.1049211025238037e-05,2.1936905231737542,0.0002335910295599883,1.1333600106203938,3.6315438391598116
sp|Q16143|SYUB_HUMAN,wilcoxon_signed_rank,31.0,1.765042543411255e-05,2.11378318190572,0.00030469205632484216,1.0798274020604925,3.516138868190382
sp|Q16610|ECM1_HUMAN,wilcoxon_signed_rank,31.0,1.765042543411255e-05,2.607588283978872,0.00030469205632484216,1.3827160982684858,3.516138868190382
sp|Q2MKA7|RSPO1_HUMAN,wilcoxon_signed_rank,30.0,1.5139579772949219e-05,4.613909147573394,0.0002783710472428479,2.2059895962108,3.5553759367214703
sp|Q4ZHG4|FNDC1_HUMAN,wilcoxon_signed_rank,56.0,0.0004249662160873413,2.4139787234655334,0.002909290828820472,1.2714129603986364,2.536212862101649
sp|Q5JSZ5|PRC2B_HUMAN,wilcoxon_signed_rank,88.0,0.007629185914993286,2.490768230034824,0.026151759432894845,1.3165907827445895,1.5824990874355962
sp|Q5VUM1|SDHF4_HUMAN,wilcoxon_signed_rank,40.0,6.318092346191406e-05,2.1024113740428176,0.0007359350769265184,1.0720449857723002,3.1331604967714917
sp|Q6UB28|MAP12_HUMAN,wilcoxon_signed_rank,11.0,4.0978193283081055e-07,3.389950564236552,2.9351395457538207e-05,1.7612642346445682,4.532371246201653
sp|Q6UWP8|SBSN_HUMAN,wilcoxon_signed_rank,13.0,6.556510925292969e-07,3.638366803936419,3.982872902592526e-05,1.8632909964099753,4.399803552135344
sp|Q6UXB8|PI16_HUMAN,wilcoxon_signed_rank,32.0,2.0518898963928223e-05,2.0682273516894933,0.0003360757547027015,1.0483947838765,3.4735628174282756
sp|Q6UXG3|CLM9_HUMAN,wilcoxon_signed_rank,29.0,1.2949109077453613e-05,2.7666588498805544,0.000261104094381092,1.4681447596223252,3.583186317938935
sp|Q7L1Q6|BZW1_HUMAN,wilcoxon_signed_rank,66.0,0.0011721327900886536,2.6799767374987513,0.006222417322605585,1.42222047798124,2.206040865161268
sp|Q86UX2|ITIH5_HUMAN,wilcoxon_signed_rank,3.0,3.725290298461914e-08,2.413557111350361,7.449028392632803e-06,1.271160965289704,5.127900370370658
sp|Q8IWS0|PHF6_HUMAN,wilcoxon_signed_rank,45.0,0.00011970102787017822,2.196365352007128,0.0011375153123742284,1.135118057843657,2.9440427484863463
sp|Q8IXQ3|CI040_HUMAN,wilcoxon_signed_rank,33.0,2.380460500717163e-05,2.0620673838309824,0.0003649785924262513,1.044091477580125,3.4377326080471002
sp|Q8IYS5|OSCAR_HUMAN,wilcoxon_signed_rank,16.0,1.259148120880127e-06,2.120474855264825,5.982823596142306e-05,1.0843873754597786,4.22309380216404
sp|Q8N1W1|ARG28_HUMAN,wilcoxon_signed_rank,35.0,3.17990779876709e-05,2.1274038695689304,0.000447518402530301,1.0890939427081643,3.3491891012351362
sp|Q8NFV4|ABHDB_HUMAN,wilcoxon_signed_rank,79.0,0.003738619387149811,2.27957767767084,0.014938912938328011,1.1887665705455823,1.825681003729594
sp|Q8TCC3|RM30_HUMAN,wilcoxon_signed_rank,74.0,0.0024397894740104675,3.0408984672547135,0.010771434853519994,1.6044976469397356,1.9677264408561816
sp|Q8WVV4|POF1B_HUMAN,wilcoxon_signed_rank,87.0,0.007071197032928467,2.883986620812874,0.02459034388479979,1.5280644717452785,1.6092353978075749
sp|Q8WW22|DNJA4_HUMAN,wilcoxon_signed_rank,94.0,0.011838570237159729,2.058831180076202,0.03679617782909944,1.0418255367928355,1.4341972909444396
sp|Q8WYQ3|CHC10_HUMAN,wilcoxon_signed_rank,87.0,0.007071197032928467,2.7919302083001853,0.02459034388479979,1.4812628780097103,1.6092353978075749
sp|Q92576|PHF3_HUMAN,wilcoxon_signed_rank,73.0,0.0022339224815368652,3.007512083566341,0.010104235616301053,1.5885705338655964,1.9954965352094234
sp|Q92823|NRCAM_HUMAN,wilcoxon_signed_rank,6.0,1.043081283569336e-07,4.223634824049493,1.1123882399664986e-05,2.0784851045099533,4.953743611092176
sp|Q96AJ9|VTI1A_HUMAN,wilcoxon_signed_rank,34.0,2.7544796466827393e-05,2.967888323990904,0.0004042430527348766,1.5694368071016793,3.39335743508225
sp|Q96CG8|CTHR1_HUMAN,wilcoxon_signed_rank,17.0,1.5422701835632324e-06,2.0325313976989587,7.048909153257097e-05,1.0232776386248859,4.151878086608091
sp|Q96EL2|RT24_HUMAN,wilcoxon_signed_rank,99.0,0.016727693378925323,2.2816503603078067,0.04835915694304977,1.1900777302344252,1.3155212789066515
sp|Q99685|MGLL_HUMAN,wilcoxon_signed_rank,14.0,8.195638656616211e-07,2.7287973301851105,4.796447550378195e-05,1.448265248553186,4.319080300220563
sp|Q9BSA9|TM175_HUMAN,wilcoxon_signed_rank,58.0,0.0005255788564682007,2.0107197349360004,0.0034269740926506725,1.0077120049669819,2.4650891787511613
sp|Q9BSL1|UBAC1_HUMAN,wilcoxon_signed_rank,90.0,0.008859716355800629,2.293495325911363,0.029464850167350808,1.197547967244871,1.530695763007936
sp|Q9H4G4|GAPR1_HUMAN,wilcoxon_signed_rank,2.0,2.2351741790771484e-08,3.153950479570358,5.645579413363808e-06,1.657160008435611,5.248291479228238
sp|Q9H6B4|CLMP_HUMAN,wilcoxon_signed_rank,22.0,3.993511199951172e-06,2.4664353237471928,0.00012206917355774314,1.3024274566684824,3.9133939957115347
sp|Q9HB19|PKHA2_HUMAN,wilcoxon_signed_rank,32.0,2.0518898963928223e-05,2.201263156754676,0.0003360757547027015,1.1383316269425714,3.4735628174282756
sp|Q9HBR0|S38AA_HUMAN,wilcoxon_signed_rank,14.0,8.195638656616211e-07,3.4635006802530968,4.796447550378195e-05,1.7922309571875001,4.319080300220563
sp|Q9HCU0|CD248_HUMAN,wilcoxon_signed_rank,6.0,1.043081283569336e-07,3.2493825135318835,1.1123882399664986e-05,1.7001655860474068,4.953743611092176
sp|Q9NQX5|NPDC1_HUMAN,wilcoxon_signed_rank,85.0,0.006060026586055756,2.0893677571407516,0.02170303551229968,1.0630664487034716,1.6634795189604923
sp|Q9NRA2|S17A5_HUMAN,wilcoxon_signed_rank,30.0,1.5139579772949219e-05,2.037648508412057,0.0002783710472428479,1.026905210039086,3.5553759367214703
sp|Q9UI17|M2GD_HUMAN,wilcoxon_signed_rank,21.0,3.330409526824951e-06,2.045808733966764,0.00011099052305022875,1.0326712714487285,3.954714101958384
sp|Q9UJ83|HACL1_HUMAN,wilcoxon_signed_rank,6.0,1.043081283569336e-07,2.5843205126554696,1.1123882399664986e-05,1.369785007084232,4.953743611092176
sp|Q9UKF6|CPSF3_HUMAN,wilcoxon_signed_rank,51.0,0.000244140625,2.044170735053909,0.0019113064590130506,1.0315156993717538,2.718669672553768
sp|Q9Y2T3|GUAD_HUMAN,wilcoxon_signed_rank,32.0,2.0518898963928223e-05,2.1655294576540003,0.0003360757547027015,1.1147197974908143,3.4735628174282756
